"consumption","SMI","unemployment_proxy","electricity","mobility","net_bankruptcies","air_pollution","c19_cases","stringency"
265694950.280742,11128.81,153895,103.705247650255,0,167.937397783188,22.0760787749956,-5.71330015912999,0
265964058.340116,11128.81,153652,103.863431889178,0.2,167.551035599864,21.9348869830505,-7.17424008846755,0
266410598.252655,11128.81,153581,104.182374659696,5.4,167.133431584569,21.817846798864,-8.77286526753551,0
267056359.829395,11168.45,153708,104.640696855926,-1.8,166.681031213079,21.7305707463488,-10.4742295387686,0
267883026.706554,11146.28,154006,105.186643506996,1.2,166.187757722568,21.6750254630084,-12.2258410140679,0
268859700.476147,11263.01,154144,105.779890586531,-2.8,165.650754178344,21.6490795090681,-13.9542593462563,0
269945143.240759,11154.53,154188,106.390901184056,0.2,165.072799019427,21.6500103112208,-15.5615925061284,0
271089439.622109,11110.78,154254,107.006977521545,-1.2,164.460062225808,21.6716046400377,-16.9220399457866,0
272235697.421603,11110.78,154145,107.627252994432,2.4,163.823034977641,21.7083623156723,-17.8786779323208,0
273334502.315992,11110.78,154103,108.251292873309,8.8,163.169965111376,21.754820137354,-18.2407386529293,0
274345179.636674,10712.84,154247,108.861794720558,2.6,162.506963290965,21.8123265645394,-17.7816969389459,0
275185522.697965,10478.51,154484,109.430320311963,2,161.838111852844,21.8815198813296,-16.2385461443981,0
275767902.654273,10512.15,154626,109.922487281723,-2.4,161.172908639565,21.9644536143597,-13.310716229437,0
276027921.297331,10205.46,154138,110.310396910859,-2.4,160.520211808374,22.0624244842688,-8.66316006192248,5.56
275917024.76871,9831.03,151721,110.590091641259,0.8,159.887517365073,22.1727657091869,-1.91420907725682,19.44
275403303.852406,9831.03,151401,110.781640116773,-1.8,159.282067946833,22.2917577896534,7.35513160928024,19.44
274494069.621222,9831.03,151325,110.903055623005,2.6,158.704624937929,22.4210039416901,43.2864009518759,25
273225267.914248,9950.83,151377,110.94459743342,-2.6,158.149569377978,22.5640539822249,109.829855152746,25
271595164.25967,10087.4,151400,110.886540094083,0.4,157.604998202442,22.7185186411849,207.905151491831,25
269610650.370944,10251.39,151470,110.725738565202,-0.8,157.062483418552,22.8805103049831,338.370742493436,25
